trial,value,model_type,n_layers,units_layer_0,units_layer_1,units_layer_2,dropout_rate,learning_rate,batch_size
0,-2033844992.0,lstm,3,16,44.0,22.0,0.11932239068746125,0.0008529698571463589,44
1,-2046311466.6666667,gru,3,88,228.0,43.0,0.14401793893048911,1.3438331588749252e-05,26
2,-2046319402.6666667,cnn,3,119,131.0,93.0,0.24001890073367177,1.4843492135174172e-05,117
3,-2045770538.6666667,gru,2,20,77.0,,0.3965886183225761,0.00013532239986266525,36
4,-1902250112.0,cnn,3,19,46.0,31.0,0.1499026187627473,0.002864785852712501,52
5,-137084309.33333334,lstm,3,25,60.0,169.0,0.19695328011947544,0.0032416164989988077,24
6,-2046268842.6666667,gru,3,208,51.0,18.0,0.3805644690986959,3.915800112081971e-05,19
7,-154704284.0,lstm,2,54,104.0,,0.4988663750030904,0.004000380288600668,25
8,-2046276309.3333333,lstm,2,145,171.0,,0.3143720846138454,2.061581248899576e-05,37
9,-999031381.3333334,lstm,3,24,140.0,98.0,0.3085998417177883,0.008576289850979685,98
10,-1984855210.6666667,lstm,1,40,,,0.21490894616719347,0.0006170988170154032,17
11,-113906589.33333333,lstm,1,46,,,0.47672650796479893,0.00935402517796364,25
12,-1856095061.3333333,lstm,1,34,,,0.4992652461779552,0.0016741368133634286,25
13,-920996672.0,lstm,1,33,,,0.2193906063955084,0.009690866644396029,60
14,-2037839744.0,lstm,1,64,,,0.4201777719889893,0.00023508509793638546,21
15,-1670716629.3333333,cnn,2,51,19.0,,0.2705580194583931,0.0038847711963862722,32
16,-2033519701.3333333,lstm,2,25,26.0,,0.18136196431638374,0.0012284072984748257,70
17,-101334936.0,lstm,1,81,,,0.33461101236655044,0.005369108998044828,16
18,-2045394517.3333333,gru,1,82,,,0.4511293161273176,8.903422933389109e-05,16
19,-2008521813.3333333,cnn,1,80,,,0.3420507556835428,0.0005554009473882774,29
20,-94404226.66666667,lstm,1,115,,,0.4509798364768543,0.0071986422262377125,20
21,-105198402.66666667,lstm,1,120,,,0.4587689066680799,0.006250701021364648,20
22,-97806072.0,lstm,1,134,,,0.43183143527313006,0.0052093163504294375,20
23,-170728252.0,lstm,1,214,,,0.3581265400989305,0.001900357212175397,16
24,-102257669.33333333,lstm,1,166,,,0.43656446317551045,0.005199683389356516,20
25,-1660644224.0,lstm,2,116,28.0,,0.40506632115304686,0.0022731701908086637,21
26,-1600769280.0,lstm,1,96,,,0.3615820959153789,0.0011617754037274866,18
27,-2034864000.0,lstm,1,68,,,0.33246425057587625,0.0003559233387046804,31
28,-1297254826.6666667,gru,2,166,256.0,,0.4267330233511247,0.005090426677597626,80
29,-1976748330.6666667,cnn,1,106,,,0.2812391648863893,0.0009348181158811226,44
30,-1683691818.6666667,lstm,1,143,,,0.38304558951109235,0.0017506188412171216,41
31,-84983144.0,lstm,1,177,,,0.43363639504705503,0.004905973215645068,21
32,-102457546.66666667,lstm,1,239,,,0.4546158928655616,0.005929542785505476,22
33,-106238421.33333333,lstm,1,180,,,0.10127209141341503,0.0029019682417875587,18
34,-102984540.0,lstm,1,137,,,0.47642315722217954,0.0065203185221392795,29
35,-351180064.0,gru,2,100,82.0,,0.4067832335550326,0.0037209448788271195,16
36,-527059722.6666667,cnn,1,122,,,0.38319445193774904,0.0026745214349945404,23
37,-103437381.33333333,lstm,1,253,,,0.43585628536619503,0.007693283305706668,27
38,-1873525973.3333333,lstm,2,78,16.0,,0.25647091943496814,0.004235126608397093,50
39,-2043781546.6666667,gru,1,186,,,0.47564625183234627,0.000110883627071108,19
40,-1983021141.3333333,lstm,2,92,35.0,,0.36550655074210453,0.0012631546991053563,35
41,-101777448.0,lstm,1,168,,,0.4413011152627218,0.005146211675739858,20
42,-172718697.33333334,lstm,1,154,,,0.4115599689257987,0.0030558851088409223,23
43,-100124641.33333333,lstm,1,201,,,0.4484047207778723,0.004818505816144849,17
44,-104311069.33333333,lstm,1,211,,,0.4698379214645644,0.009578551951568965,18
45,-255209928.0,lstm,1,127,,,0.49403850923738774,0.0023778264043879086,17
46,-102450302.66666667,lstm,1,107,,,0.39200464518628414,0.007104029206867526,27
47,-105334289.33333333,lstm,1,193,,,0.33052112452441756,0.003795040277744338,23
48,-1840851541.3333333,cnn,1,136,,,0.41824616905191225,0.0006622536575170518,18
49,-2045661098.6666667,lstm,3,72,93.0,199.0,0.29409990106166334,5.494558386299285e-05,25
